model,model_config,model_id,n_trials,n_valid,n_correct,accuracy,acc_by_category,mean_gen_lat_s,median_gen_lat_s,mean_prompt_tokens,mean_completion_tokens,mean_reasoning_tokens,total_cost_usd,cost_per_run_usd,acc_pct_per_dollar,price_in_per_M,price_out_per_M,run_date,source_file,notes
deepseek-v4-pro,default,deepseek/deepseek-v4-pro,50,50,47,0.94,"{""Algebra"": ""11/12"", ""Combinatorics"": ""12/13"", ""Geometry"": ""12/12"", ""Number theory"": ""12/13""}",722.6,489.9,232,21154,,0.9253,0.01851,5079.5,0.435,0.87,2026-05-04,answerbench_compare_20260504_20260504_084012.json,
gpt-5.4-nano,xhigh,openai/gpt-5.4-nano,50,49,45,0.9184,"{""Algebra"": ""11/12"", ""Combinatorics"": ""12/13"", ""Geometry"": ""11/11"", ""Number theory"": ""11/13""}",1243.1,456.5,3378,44275,43372,2.745,0.05602,1639.4,0.2,1.25,2026-05-05,nano_xhigh_answerbench50_20260505_partial.json,"1 trials with error 'trial killed (hung >70 min, HTTP timeout did not fire)'"
gemini-3-flash-preview,xhigh_effective_synthesized,google/gemini-3-flash-preview,50,50,45,0.9,"{""Algebra"": ""11/12"", ""Combinatorics"": ""9/13"", ""Geometry"": ""12/12"", ""Number theory"": ""13/13""}",50.7,15.0,238,11191,31091,1.6847,0.03369,2671.0,0.5,3.0,2026-05-04 + 2026-05-05,synthesized: 37 prior-default + 13 xhigh retests,SYNTHESIZED. 37 PIDs use default-effort result (assumed unchanged at xhigh). 13 PIDs use real xhigh retest. NOT a real 50-trial xhigh run.
deepseek-v4-flash,default,deepseek/deepseek-v4-flash,50,50,44,0.88,"{""Algebra"": ""10/12"", ""Combinatorics"": ""10/13"", ""Geometry"": ""12/12"", ""Number theory"": ""12/13""}",356.6,276.1,231,19649,,0.2767,0.00553,15901.2,0.14,0.28,2026-05-04,answerbench_compare_20260504_20260504_084012.json,
qwen3.6-35b-a3b,default,qwen/qwen3.6-35b-a3b,50,50,40,0.8,"{""Algebra"": ""10/12"", ""Combinatorics"": ""11/13"", ""Geometry"": ""10/12"", ""Number theory"": ""9/13""}",139.2,125.8,259,21720,,1.088,0.02176,3676.6,0.15,1.0,2026-05-04,answerbench_compare_20260504_20260504_084012.json,
qwen3.6-plus,default,qwen/qwen3.6-plus,50,50,39,0.78,"{""Algebra"": ""10/12"", ""Combinatorics"": ""8/13"", ""Geometry"": ""11/12"", ""Number theory"": ""10/13""}",739.3,657.2,260,37855,,3.6951,0.0739,1055.5,0.325,1.95,2026-05-04,answerbench_compare_20260504_20260504_084012.json,
gemini-3.1-pro-preview,default,google/gemini-3.1-pro-preview,50,50,39,0.78,"{""Algebra"": ""11/12"", ""Combinatorics"": ""8/13"", ""Geometry"": ""11/12"", ""Number theory"": ""9/13""}",233.0,210.4,194,21501,,12.9202,0.2584,301.9,2.0,12.0,2026-05-07,gemini3pro_answerbench50_remaining_20260507_20260507_075148.json,
gpt-oss-120b,xhigh,openai/gpt-oss-120b,50,50,37,0.74,"{""Algebra"": ""8/12"", ""Combinatorics"": ""8/13"", ""Geometry"": ""10/12"", ""Number theory"": ""11/13""}",564.8,308.3,298,31752,23539,0.2864,0.00573,12921.2,0.039,0.18,2026-05-05,cheap_xhigh_answerbench50_20260505_20260505_081826.json,
gemini-3-flash-preview,default,google/gemini-3-flash-preview,50,50,37,0.74,"{""Algebra"": ""10/12"", ""Combinatorics"": ""8/13"", ""Geometry"": ""8/12"", ""Number theory"": ""11/13""}",18.4,10.8,237,3298,,0.5007,0.01001,7389.4,0.5,3.0,2026-05-04,answerbench_compare_20260504_20260504_084012.json,
gemma-4-31b-it,default,google/gemma-4-31b-it,50,50,34,0.68,"{""Algebra"": ""6/12"", ""Combinatorics"": ""7/13"", ""Geometry"": ""10/12"", ""Number theory"": ""11/13""}",235.1,129.5,277,3830,,0.0746,0.00149,45584.9,0.13,0.38,2026-05-04,answerbench_compare_20260504_20260504_084012.json,default behavior emits 0 reasoning tokens (per probe) — effectively reasoning-off
