judge_id,model_id,reasoning_config,reasoning_param_json,grading_id,problem_id,problem_source,human_score,human_score_bucketed,human_pass_at_6,human_signal_at_1,judge_score,score_in_allowed_set,judge_pass_at_6,judge_signal_at_1,pass_match_at_6,signal_match_at_1,delta,abs_delta,error,prompt_tokens,completion_tokens,reasoning_tokens,total_tokens,cost_usd,elapsed_s
gemini-3-flash,google/gemini-3-flash-preview,default,,GB-0655,PB-Advanced-020,(Modified) IMO 2024 P2,0,0,False,False,7,True,True,True,False,False,7,7,,4100,659,0,4759,0.014277,4.47
gemini-3-flash,google/gemini-3-flash-preview,default,,GB-0115,PB-Advanced-004,Novel Problem,7,7,True,True,7,True,True,True,True,True,0,0,,5415,648,0,6063,0.018189,3.9
gemini-3-flash,google/gemini-3-flash-preview,default,,GB-0026,PB-Advanced-001,Novel Problem,7,7,True,True,7,True,True,True,True,True,0,0,,3883,629,0,4512,0.013536,3.57
gemini-3-flash,google/gemini-3-flash-preview,default,,GB-0760,PB-Advanced-023,(Modified) IMO 2024 P5,0,0,False,False,0,True,False,False,True,True,0,0,,10713,580,0,11293,0.033879,4.22
gemini-3-flash,google/gemini-3-flash-preview,default,,GB-0282,PB-Advanced-009,Novel Problem,0,0,False,False,1,True,False,True,True,False,1,1,,4341,765,0,5106,0.015318,4.67
gemini-3-flash,google/gemini-3-flash-preview,default,,GB-0251,PB-Advanced-008,Novel Problem,6,6,True,True,7,True,True,True,True,True,1,1,,5829,509,0,6338,0.019014,2.93
gemini-3-flash,google/gemini-3-flash-preview,default,,GB-0229,PB-Advanced-008,Novel Problem,0,0,False,False,7,True,True,True,False,False,7,7,,5822,704,0,6526,0.019578,4.05
gemini-3-flash,google/gemini-3-flash-preview,default,,GB-0143,PB-Advanced-005,Novel Problem,0,0,False,False,7,True,True,True,False,False,7,7,,7463,547,0,8010,0.02403,3.79
gemini-3-flash,google/gemini-3-flash-preview,default,,GB-0755,PB-Advanced-023,(Modified) IMO 2024 P5,0,0,False,False,0,True,False,False,True,True,0,0,,4925,505,0,5430,0.01629,3.74
gemini-3-flash,google/gemini-3-flash-preview,default,,GB-0105,PB-Advanced-004,Novel Problem,7,7,True,True,7,True,True,True,True,True,0,0,,4536,584,0,5120,0.01536,3.41
gemini-3-flash,google/gemini-3-flash-preview,default,,GB-0693,PB-Advanced-021,(Modified) IMO 2024 P3,0,0,False,False,0,True,False,False,True,True,0,0,,4707,1015,0,5722,0.017166,5.88
gemini-3-flash,google/gemini-3-flash-preview,default,,GB-0759,PB-Advanced-023,(Modified) IMO 2024 P5,0,0,False,False,0,True,False,False,True,True,0,0,,3275,444,0,3719,0.011157,3.37
gemini-3-flash,google/gemini-3-flash-preview,default,,GB-0914,PB-Advanced-028,USAMO 2025,7,7,True,True,7,True,True,True,True,True,0,0,,2609,437,0,3046,0.009138,2.78
gemini-3-flash,google/gemini-3-flash-preview,default,,GB-0559,PB-Advanced-017,Novel Problem,3,1,False,True,7,True,True,True,False,True,4,4,,6497,629,0,7126,0.021378,4.02
gemini-3-flash,google/gemini-3-flash-preview,default,,GB-0090,PB-Advanced-003,Novel Problem,1,1,False,True,7,True,True,True,False,True,6,6,,4518,608,0,5126,0.015378,3.65
gemini-3-flash,google/gemini-3-flash-preview,default,,GB-0605,PB-Advanced-018,Novel Problem,1,1,False,True,0,True,False,False,True,False,-1,1,,4802,620,0,5422,0.016266,4.03
gemini-3-flash,google/gemini-3-flash-preview,default,,GB-0433,PB-Advanced-013,Novel Problem,0,0,False,False,7,True,True,True,False,False,7,7,,4272,599,0,4871,0.014613,3.53
gemini-3-flash,google/gemini-3-flash-preview,default,,GB-0033,PB-Advanced-002,Novel Problem,0,0,False,False,0,True,False,False,True,True,0,0,,4225,667,0,4892,0.014676,4.04
gemini-3-flash,google/gemini-3-flash-preview,default,,GB-0031,PB-Advanced-001,Novel Problem,7,7,True,True,7,True,True,True,True,True,0,0,,3905,532,0,4437,0.013311,3.01
gemini-3-flash,google/gemini-3-flash-preview,default,,GB-0096,PB-Advanced-004,Novel Problem,4,6,False,True,7,True,True,True,False,True,3,3,,4184,746,0,4930,0.01479,4.31
gemini-3-flash,google/gemini-3-flash-preview,default,,GB-0224,PB-Advanced-008,Novel Problem,0,0,False,False,7,True,True,True,False,False,7,7,,4369,653,0,5022,0.015066,3.26
gemini-3-flash,google/gemini-3-flash-preview,default,,GB-0239,PB-Advanced-008,Novel Problem,4,6,False,True,7,True,True,True,False,True,3,3,,4679,701,0,5380,0.01614,3.8
gemini-3-flash,google/gemini-3-flash-preview,default,,GB-0518,PB-Advanced-016,Novel Problem,0,0,False,False,7,True,True,True,False,False,7,7,,2304,605,0,2909,0.008727,4.05
gemini-3-flash,google/gemini-3-flash-preview,default,,GB-0617,PB-Advanced-018,Novel Problem,1,1,False,True,0,True,False,False,True,False,-1,1,,4551,642,0,5193,0.015579,4.16
gemini-3-flash,google/gemini-3-flash-preview,default,,GB-0028,PB-Advanced-001,Novel Problem,7,7,True,True,7,True,True,True,True,True,0,0,,4911,567,0,5478,0.016434,3.47
gemini-3-flash,google/gemini-3-flash-preview,default,,GB-0575,PB-Advanced-017,Novel Problem,6,6,True,True,7,True,True,True,True,True,1,1,,5516,604,0,6120,0.01836,3.4
gemini-3-flash,google/gemini-3-flash-preview,default,,GB-0204,PB-Advanced-007,Novel Problem,7,7,True,True,7,True,True,True,True,True,0,0,,3410,719,0,4129,0.012387,3.76
gemini-3-flash,google/gemini-3-flash-preview,default,,GB-0734,PB-Advanced-022,(Modified) IMO 2024 P4,1,1,False,True,7,True,True,True,False,True,6,6,,3291,702,0,3993,0.011979,4.0
gemini-3-flash,google/gemini-3-flash-preview,default,,GB-0666,PB-Advanced-020,(Modified) IMO 2024 P2,1,1,False,True,7,True,True,True,False,True,6,6,,5939,691,0,6630,0.01989,4.36
gemini-3-flash,google/gemini-3-flash-preview,default,,GB-0719,PB-Advanced-021,(Modified) IMO 2024 P3,4,6,False,True,0,True,False,False,True,False,-4,4,,8912,481,0,9393,0.028179,4.02
gemini-3-flash,google/gemini-3-flash-preview,default,,GB-0987,PB-Advanced-030,USAMO 2025,0,0,False,False,0,True,False,False,True,True,0,0,,3258,532,0,3790,0.01137,4.03
gemini-3-flash,google/gemini-3-flash-preview,default,,GB-0430,PB-Advanced-013,Novel Problem,0,0,False,False,7,True,True,True,False,False,7,7,,5082,608,0,5690,0.01707,3.59
gemini-3-flash,google/gemini-3-flash-preview,default,,GB-0226,PB-Advanced-008,Novel Problem,0,0,False,False,7,True,True,True,False,False,7,7,,4804,778,0,5582,0.016746,3.88
gemini-3-flash,google/gemini-3-flash-preview,default,,GB-0460,PB-Advanced-014,Novel Problem,7,7,True,True,7,True,True,True,True,True,0,0,,3103,671,0,3774,0.011322,3.87
gemini-3-flash,google/gemini-3-flash-preview,default,,GB-0604,PB-Advanced-018,Novel Problem,1,1,False,True,0,True,False,False,True,False,-1,1,,4299,602,0,4901,0.014703,3.8
gemini-3-flash,google/gemini-3-flash-preview,default,,GB-0285,PB-Advanced-009,Novel Problem,0,0,False,False,0,True,False,False,True,True,0,0,,3913,609,0,4522,0.013566,4.27
gemini-3-flash,google/gemini-3-flash-preview,default,,GB-0829,PB-Advanced-025,USAMO 2025,7,7,True,True,7,True,True,True,True,True,0,0,,2869,651,0,3520,0.01056,3.67
