problem_id,difficulty,difficulty_label,model_short,mode_or_n,reasoning,source_experiment,branch_idx,judge,judge_model,score,original_v4flash_score,original_v4pro_score,cost_usd,elapsed_s,in_tokens,out_tokens,error,solution_text_hash,completed_at
first-proof-10-official,2,research-easy,deepseek-v4-pro,generate,default,phase1,,v4pro_validation,openrouter/deepseek/deepseek-v4-pro,6,7,6,0.019403,571.28,8534,18035,,80dbc2144bc08ad7,2026-05-07T10:16:03.199487+00:00
first-proof-10-official,2,research-easy,deepseek-v4-pro,generate,default,phase1,,nano_validation,openrouter/openai/gpt-5.4-nano,1,7,6,0.010259,46.33,9241,6729,,80dbc2144bc08ad7,2026-05-07T10:25:34.475121+00:00
first-proof-5-official,3,research-medium,deepseek-v4-pro,seed_generate,default,phase1,,v4pro_validation,openrouter/deepseek/deepseek-v4-pro,0,7,0,0.03179,29.02,70701,1190,,e027515ea413347f,2026-05-07T10:26:20.807888+00:00
erdos-397,1,competition-hard,deepseek-v4-flash,seed_generate,default,phase1,,v4pro_validation,openrouter/deepseek/deepseek-v4-pro,0,7,0,0.0217,41.07,44723,2581,,bc5a335776a7a2a2,2026-05-07T10:26:20.805904+00:00
erdos-654,2,research-easy,gpt-oss-120b,full,max,phase1_reasoning,,v4pro_validation,openrouter/deepseek/deepseek-v4-pro,0,6,,0.01188,271.16,5076,11117,,1e1b535796183395,2026-05-07T10:26:20.815226+00:00
first-proof-10-official,2,research-easy,gemini-3-flash-preview,full,default,phase1,,v4pro_validation,openrouter/deepseek/deepseek-v4-pro,1,7,1,0.016764,279.52,8257,15141,,8cf041a0dd13c23d,2026-05-07T10:26:20.802486+00:00
first-proof-10-official,2,research-easy,gemma-4-31b-it,generate,max,phase1_reasoning,,v4pro_validation,openrouter/deepseek/deepseek-v4-pro,0,7,,0.011952,284.81,8106,9685,,ac4aa61ed561d7ba,2026-05-07T10:26:20.812461+00:00
first-proof-10-official,2,research-easy,gemma-4-31b-it,seed_full,default,phase2,,v4pro_validation,openrouter/deepseek/deepseek-v4-pro,1,6,0,0.014297,362.15,8236,12315,,752de9116d31dbf0,2026-05-07T10:26:20.811540+00:00
first-proof-10-official,2,research-easy,gemma-4-31b-it,full,max,phase1_reasoning,,v4pro_validation,openrouter/deepseek/deepseek-v4-pro,1,7,,0.020552,394.19,8031,19608,,96bb75ee505168c2,2026-05-07T10:26:20.814339+00:00
first-proof-10-official,2,research-easy,gemma-4-31b-it,seed_generate,max,phase1_reasoning,,v4pro_validation,openrouter/deepseek/deepseek-v4-pro,1,6,,0.015409,400.34,8341,13541,,4d7cd26f77e1be32,2026-05-07T10:26:49.829353+00:00
erdos-654,2,research-easy,gemma-4-31b-it,seed_full,max,phase1_reasoning,,v4pro_validation,openrouter/deepseek/deepseek-v4-pro,7,7,,0.02224,197.66,4799,23164,,1e89679457f356f3,2026-05-07T10:31:00.319436+00:00
first-proof-10-official,2,research-easy,qwen3.6-35b-a3b,seed_generate,default,phase1,,v4pro_validation,openrouter/deepseek/deepseek-v4-pro,6,6,1,0.018571,525.3,8905,16893,,d84e642ccc4ed7d4,2026-05-07T10:26:20.810604+00:00
first-proof-10-official,2,research-easy,qwen3.6-35b-a3b,full,default,phase1,,v4pro_validation,openrouter/deepseek/deepseek-v4-pro,0,6,0,0.019692,534.53,8812,18229,,d2e44d9676a34884,2026-05-07T10:26:20.804576+00:00
first-proof-10-official,2,research-easy,gemma-4-31b-it,full,default,phase1,,v4pro_validation,openrouter/deepseek/deepseek-v4-pro,1,6,1,0.015287,555.79,8105,13519,,5db69a23d7f53197,2026-05-07T10:26:20.803565+00:00
first-proof-6-official,,,deepseek-v4-flash,best_of_n_branch2,default,scaling_v4flash,2,v4pro_validation,openrouter/deepseek/deepseek-v4-pro,0,7,,0.019109,34.96,41763,1083,,e47898af0e7a05c0,2026-05-07T10:35:36.596926+00:00
first-proof-10-official,2,research-easy,gpt-oss-120b,seed_generate,max,phase1_reasoning,,v4pro_validation,openrouter/deepseek/deepseek-v4-pro,6,6,,0.016248,552.33,10509,13421,,195ceba2308bb8f5,2026-05-07T10:27:01.879958+00:00
first-proof-10-official,2,research-easy,gpt-oss-120b,seed_full,max,phase1_reasoning,,v4pro_validation,openrouter/deepseek/deepseek-v4-pro,0,6,,0.012345,241.47,11977,8201,,a51f469b129d6045,2026-05-07T10:32:22.961453+00:00
erdos-654,2,research-easy,deepseek-v4-pro,generate,default,phase1,,v4pro_validation,openrouter/deepseek/deepseek-v4-pro,1,7,1,0.021727,712.44,4650,22648,,c5d71b4683ae5e52,2026-05-07T10:26:20.800944+00:00
first-proof-10-official,2,research-easy,gpt-oss-120b,generate,max,phase1_reasoning,,v4pro_validation,openrouter/deepseek/deepseek-v4-pro,0,7,,0.015459,770.69,11118,12210,,1e9140192cfd491e,2026-05-07T10:26:20.813362+00:00
erdos-1051,,,deepseek-v4-flash,best_of_n_branch6,default,scaling_v4flash,6,v4pro_validation,openrouter/deepseek/deepseek-v4-pro,0,6,,0.014745,413.21,5430,14233,,2d0328373316dd60,2026-05-07T10:32:55.006683+00:00
first-proof-10-official,,,gemma-4-31b-it,best_of_n_branch5,max,scaling_reasoning,5,v4pro_validation,openrouter/deepseek/deepseek-v4-pro,1,7,,0.009245,195.41,8268,6493,,9eebee00d45a3826,2026-05-07T10:38:13.243303+00:00
first-proof-10-official,,,gemma-4-31b-it,best_of_n_branch0,max,scaling_reasoning,0,v4pro_validation,openrouter/deepseek/deepseek-v4-pro,1,7,,0.015472,340.24,8177,13695,,3d5dcc021c5e68c2,2026-05-07T10:36:11.553329+00:00
first-proof-10-official,,,deepseek-v4-flash,best_of_n_branch4,default,scaling_v4flash,4,v4pro_validation,openrouter/deepseek/deepseek-v4-pro,6,6,,0.016457,422.64,9198,14317,,43073f1061a47349,2026-05-07T10:35:15.329949+00:00
first-proof-10-official,2,research-easy,gemma-4-31b-it,seed_full,max,phase1_reasoning,,v4pro_validation,openrouter/deepseek/deepseek-v4-pro,6,7,,0.024827,722.3,8348,24363,,df95e1931a1e8a23,2026-05-07T10:31:05.624028+00:00
first-proof-10-official,,,gemma-4-31b-it,best_of_n_branch2,max,scaling_reasoning,2,v4pro_validation,openrouter/deepseek/deepseek-v4-pro,6,6,,0.016335,440.56,7978,14787,,6c08bc72a7f270dd,2026-05-07T10:36:14.211511+00:00
first-proof-10-official,,,deepseek-v4-flash,best_of_n_branch2,default,scaling_v4flash,2,v4pro_validation,openrouter/deepseek/deepseek-v4-pro,6,6,,0.019187,508.81,9761,17173,,e0f22dd26619ef3e,2026-05-07T10:35:06.114632+00:00
erdos-333,2,research-easy,gemma-4-31b-it,seed_full,max,phase1_reasoning,,v4pro_validation,openrouter/deepseek/deepseek-v4-pro,6,6,,0.018175,778.33,3683,19049,,09c5bb2f12c13121,2026-05-07T10:30:51.970367+00:00
first-proof-10-official,,,deepseek-v4-flash,best_of_n_branch1,default,scaling_v4flash,1,v4pro_validation,openrouter/deepseek/deepseek-v4-pro,6,6,,0.025544,613.16,9165,24778,,efb4640216c6d9f0,2026-05-07T10:34:17.977559+00:00
first-proof-10-official,,,gemma-4-31b-it,best_of_n_branch4,max,scaling_reasoning,4,v4pro_validation,openrouter/deepseek/deepseek-v4-pro,6,7,,0.017748,489.42,8147,16326,,64bb4a3e9be2c85c,2026-05-07T10:36:24.433795+00:00
first-proof-10-official,,,gpt-oss-120b,best_of_n_branch1,max,scaling_reasoning,1,v4pro_validation,openrouter/deepseek/deepseek-v4-pro,0,6,,0.014164,322.8,10743,10909,,303ee72f03c0ff1c,2026-05-07T10:39:48.217184+00:00
first-proof-10-official,,,gpt-oss-120b,best_of_n_branch4,max,scaling_reasoning,4,v4pro_validation,openrouter/deepseek/deepseek-v4-pro,0,7,,0.015379,368.7,10741,12307,,84a07d4f529633ed,2026-05-07T10:41:28.652674+00:00
first-proof-10-official,,,gpt-oss-120b,best_of_n_branch5,max,scaling_reasoning,5,v4pro_validation,openrouter/deepseek/deepseek-v4-pro,6,6,,0.017148,450.8,9582,14919,,3c84fb5febb3f237,2026-05-07T10:41:51.795703+00:00
erdos-659,,,deepseek-v4-flash,best_of_n_branch2,default,scaling_v4flash,2,v4pro_validation,openrouter/deepseek/deepseek-v4-pro,6,6,,0.028288,975.96,6073,29479,,27bc4bedcd734f80,2026-05-07T10:33:30.164994+00:00
first-proof-10-official,,,gpt-oss-120b,best_of_n_branch8,max,scaling_reasoning,8,v4pro_validation,openrouter/deepseek/deepseek-v4-pro,6,7,,0.017291,426.52,11059,14345,,bb1c022bbfb738cf,2026-05-07T10:43:07.921906+00:00
first-proof-10-official,,,gpt-oss-120b,best_of_n_branch6,max,scaling_reasoning,6,v4pro_validation,openrouter/deepseek/deepseek-v4-pro,6,7,,0.019403,494.3,11432,16586,,075a264527313894,2026-05-07T10:42:17.968719+00:00
first-proof-10-official,,,gemma-4-31b-it,best_of_n_branch8,max,scaling_reasoning,8,v4pro_validation,openrouter/deepseek/deepseek-v4-pro,6,6,,0.017815,857.41,7961,16497,,380f1ace7d875e32,2026-05-07T10:39:11.500562+00:00
first-proof-10-official,2,research-easy,gemma-4-31b-it,generate,default,phase1,,nano_validation,openrouter/openai/gpt-5.4-nano,1,0,6,0.003221,9.65,8875,1157,,e354502cb9b1c43e,2026-05-07T10:53:28.917319+00:00
first-proof-10-official,2,research-easy,gemma-4-31b-it,seed_generate,default,phase1,,nano_validation,openrouter/openai/gpt-5.4-nano,1,0,6,0.004131,12.04,9497,1785,,6a9f034f9815972f,2026-05-07T10:53:28.926230+00:00
