experiment,source_experiment,subclass,condition,reasoning,ideator_model,generator_model,verifier_model,reviser_model,model_short,model_id,problem_id,level,difficulty,difficulty_label,is_26_research,v4flash_score,v4flash_pass,v4pro_score,gemini_score,n_branches,cost_usd,elapsed_s,error
roleswap,roleswap,oss_gemma_8cell,random_run1,default,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,gemma-4-31b-it,openrouter/google/gemma-4-31b-it,PB-Advanced-001,IMO-easy,1,competition-hard,False,0,False,,7,3,0.062634,505.85,
roleswap,roleswap,oss_gemma_8cell,random_run1,default,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,gpt-oss-120b,openrouter/openai/gpt-oss-120b,PB-Advanced-002,IMO-medium,1,competition-hard,False,0,False,,7,3,0.072095,468.3,
roleswap,roleswap,oss_gemma_8cell,random_run1,default,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,gemma-4-31b-it,openrouter/google/gemma-4-31b-it,PB-Advanced-003,IMO-hard,1,competition-hard,False,0,False,,0,3,0.076038,339.55,
roleswap,roleswap,oss_gemma_8cell,random_run1,default,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,gpt-oss-120b,openrouter/openai/gpt-oss-120b,PB-Advanced-004,IMO-easy,1,competition-hard,False,0,False,,7,3,0.07721,736.98,
roleswap,roleswap,oss_gemma_8cell,random_run1,default,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,gpt-oss-120b,openrouter/openai/gpt-oss-120b,PB-Advanced-005,IMO-medium,1,competition-hard,False,0,False,,0,3,0.073466,759.28,
roleswap,roleswap,oss_gemma_8cell,random_run1,default,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,gpt-oss-120b,openrouter/openai/gpt-oss-120b,PB-Advanced-006,IMO-hard,1,competition-hard,False,0,False,,1,3,0.083593,530.25,
roleswap,roleswap,oss_gemma_8cell,random_run1,default,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,gpt-oss-120b,openrouter/openai/gpt-oss-120b,PB-Advanced-007,IMO-easy,1,competition-hard,False,0,False,,0,3,0.059163,550.12,
roleswap,roleswap,oss_gemma_8cell,random_run1,default,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,gemma-4-31b-it,openrouter/google/gemma-4-31b-it,PB-Advanced-008,IMO-medium,1,competition-hard,False,0,False,,7,3,0.086722,667.48,
roleswap,roleswap,oss_gemma_8cell,random_run1,default,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,gemma-4-31b-it,openrouter/google/gemma-4-31b-it,PB-Advanced-009,IMO-hard,1,competition-hard,False,0,False,,0,3,0.06765,576.79,
roleswap,roleswap,oss_gemma_8cell,random_run1,default,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,gpt-oss-120b,openrouter/openai/gpt-oss-120b,PB-Advanced-010,IMO-medium,1,competition-hard,False,0,False,,0,3,0.074351,454.46,
roleswap,roleswap,oss_gemma_8cell,random_run1,default,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,gpt-oss-120b,openrouter/openai/gpt-oss-120b,PB-Advanced-011,IMO-medium,1,competition-hard,False,7,True,,7,3,0.061451,973.13,
roleswap,roleswap,oss_gemma_8cell,random_run1,default,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,gemma-4-31b-it,openrouter/google/gemma-4-31b-it,PB-Advanced-012,IMO-hard,1,competition-hard,False,0,False,,7,3,0.082484,1090.23,
roleswap,roleswap,oss_gemma_8cell,random_run1,default,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,gpt-oss-120b,openrouter/openai/gpt-oss-120b,PB-Advanced-013,IMO-easy,1,competition-hard,False,0,False,,0,3,0.084918,1277.34,
roleswap,roleswap,oss_gemma_8cell,random_run1,default,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,gemma-4-31b-it,openrouter/google/gemma-4-31b-it,PB-Advanced-014,IMO-medium,1,competition-hard,False,0,False,,0,3,0.060994,691.94,
roleswap,roleswap,oss_gemma_8cell,random_run1,default,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,gemma-4-31b-it,openrouter/google/gemma-4-31b-it,PB-Advanced-015,IMO-hard,1,competition-hard,False,0,False,,0,3,0.054976,363.51,
roleswap,roleswap,oss_gemma_8cell,random_run1,default,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,gpt-oss-120b,openrouter/openai/gpt-oss-120b,PB-Advanced-016,IMO-easy,1,competition-hard,False,0,False,,0,3,0.061144,534.43,
roleswap,roleswap,oss_gemma_8cell,random_run1,default,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,gemma-4-31b-it,openrouter/google/gemma-4-31b-it,PB-Advanced-017,IMO-easy,1,competition-hard,False,0,False,,7,3,0.087026,1073.33,
roleswap,roleswap,oss_gemma_8cell,random_run1,default,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,gemma-4-31b-it,openrouter/google/gemma-4-31b-it,PB-Advanced-018,IMO-hard,1,competition-hard,False,0,False,,0,3,0.074179,727.85,
roleswap,roleswap,oss_gemma_8cell,random_run1,default,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,gemma-4-31b-it,openrouter/google/gemma-4-31b-it,PB-Advanced-019,IMO-easy,1,competition-hard,False,0,False,,7,3,0.066296,499.75,
roleswap,roleswap,oss_gemma_8cell,random_run1,default,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,gemma-4-31b-it,openrouter/google/gemma-4-31b-it,PB-Advanced-020,IMO-medium,1,competition-hard,False,0,False,,7,3,0.075416,917.02,
roleswap,roleswap,oss_gemma_8cell,random_run1,default,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,gpt-oss-120b,openrouter/openai/gpt-oss-120b,PB-Advanced-021,IMO-hard,1,competition-hard,False,0,False,,0,3,0.071234,337.09,
roleswap,roleswap,oss_gemma_8cell,random_run1,default,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,gemma-4-31b-it,openrouter/google/gemma-4-31b-it,PB-Advanced-022,IMO-easy,1,competition-hard,False,0,False,,0,3,0.065922,891.72,
roleswap,roleswap,oss_gemma_8cell,random_run1,default,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,gpt-oss-120b,openrouter/openai/gpt-oss-120b,PB-Advanced-023,IMO-medium,1,competition-hard,False,0,False,,0,3,0.048035,431.38,
