subclass,condition,reasoning,ideator_model,generator_model,verifier_model,reviser_model,n_problems,n_valid_v4flash,mean_score_v4flash,pass_rate_v4flash,mean_score_imo,mean_score_research,research_solves,mean_cost_usd
ideator_strength,self_v4flash,default,openrouter/deepseek/deepseek-v4-flash,openrouter/deepseek/deepseek-v4-flash,openrouter/deepseek/deepseek-v4-flash,openrouter/deepseek/deepseek-v4-flash,20,20,3.2,0.45,3.2,,0,0.1769
ideator_strength,vp_v4flash,default,openrouter/deepseek/deepseek-v4-pro,openrouter/deepseek/deepseek-v4-flash,openrouter/deepseek/deepseek-v4-flash,openrouter/deepseek/deepseek-v4-flash,20,20,2.55,0.35,2.55,,0,0.1799
oss_gemma_8cell,random_run1,default,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,5,5,0,0.0,0,,0,0.0658
oss_gemma_8cell,random_run1,default,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,6,6,2.3333,0.3333,1.4,,0,0.0577
oss_gemma_8cell,random_run1,default,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,4,4,2,0.25,2,,0,0.0661
oss_gemma_8cell,random_run1,default,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,3,3,0,0.0,0,,0,0.0595
oss_gemma_8cell,random_run1,default,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,6,6,1.1667,0.1667,1.4,0,0,0.08
oss_gemma_8cell,random_run1,default,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,5,5,4,0.6,2.3333,,0,0.0508
oss_gemma_8cell,random_run1,default,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,3,3,4.3333,0.6667,,0,0,0.0549
oss_gemma_8cell,random_run1,default,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,3,3,0,0.0,0,0,0,0.0799
oss_gemma_8cell,random_run1,default,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,3,3,4.3333,0.6667,3.5,,0,0.0644
oss_gemma_8cell,random_run1,default,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,4,4,1.75,0.25,0,0,0,0.0911
oss_gemma_8cell,random_run1,default,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,5,5,0,0.0,0,0,0,0.0849
oss_gemma_8cell,random_run1,default,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,8,8,0,0.0,0,,0,0.0647
oss_gemma_8cell,random_run1,default,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,3,3,2.3333,0.3333,2.3333,,0,0.0471
oss_gemma_8cell,random_run1,default,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,9,9,1.6667,0.2222,1.875,0,0,0.0771
oss_gemma_8cell,random_run1,default,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,3,3,0,0.0,0,0,0,0.0648
oss_gemma_8cell,random_run1,max,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,5,5,1.6,0.2,1.75,,0,0.066
oss_gemma_8cell,random_run1,max,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,6,6,5.6667,0.8333,5.4,,0,0.0608
oss_gemma_8cell,random_run1,max,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,4,4,5,0.75,5,,0,0.0526
oss_gemma_8cell,random_run1,max,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,3,3,2.3333,0.3333,2.3333,,0,0.0661
oss_gemma_8cell,random_run1,max,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,6,6,2.3333,0.3333,2.8,0,0,0.1032
oss_gemma_8cell,random_run1,max,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,5,5,4.2,0.6,2.3333,,0,0.0465
oss_gemma_8cell,random_run1,max,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,3,3,5,0.6667,,1,0,0.0352
oss_gemma_8cell,random_run1,max,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,3,3,2.3333,0.3333,3.5,0,0,0.1136
oss_gemma_8cell,random_run1,max,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,3,3,4.6667,0.6667,3.5,,0,0.037
oss_gemma_8cell,random_run1,max,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,4,4,5.25,0.75,7,3.5,1,0.0439
oss_gemma_8cell,random_run1,max,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,5,5,1.4,0.2,2.3333,0,0,0.0808
oss_gemma_8cell,random_run1,max,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,8,7,2,0.2857,2,,0,0.0635
oss_gemma_8cell,random_run1,max,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,3,3,5,0.6667,5,,0,0.0481
oss_gemma_8cell,random_run1,max,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,9,9,1.7778,0.2222,2,0,0,0.0953
