judge_id,model_id,reasoning_config,reasoning_param_json,n_attempted,n_valid,n_errors,mean_judge_score,mean_human_score,mean_delta,mean_abs_dev,pearson_r,spearman_r,exact_match_raw,exact_match_bucketed,pass_agree_at_6,recall_at_6,specificity_at_6,precision_at_6,f1_at_6,tp_at_6,fp_at_6,tn_at_6,fn_at_6,signal_agree_at_1,recall_at_1,specificity_at_1,precision_at_1,f1_at_1,mean_reasoning_tokens,total_cost_usd,mean_cost_per_call,latency_p50_s,latency_p95_s
gpt-5.4-nano,openai/gpt-5.4-nano,xhigh,"{""effort"": ""xhigh""}",200,196,4,2.0102,2.9592,-0.949,1.4082,0.7115,0.6596,0.4031,0.4541,0.8929,0.7,0.9779,0.9333,0.8,42,3,133,18,0.7296,0.8409,0.5,0.7762,0.8073,20526.6,7.2594,0.037038,151.73,398.33
deepseek-v4-pro,deepseek/deepseek-v4-pro,default,,200,198,2,2.2778,3.0253,-0.7475,1.2121,0.7562,0.7339,0.5354,0.5859,0.8889,0.8254,0.9185,0.8254,0.8254,52,11,124,11,0.702,0.6045,0.9062,0.931,0.733,12299.7,2.9668,0.014984,298.72,975.24
deepseek-v4-flash,deepseek/deepseek-v4-flash,default,,200,199,1,2.2161,3.0201,-0.804,1.2261,0.7556,0.7101,0.5528,0.5779,0.8744,0.7937,0.9118,0.8065,0.8,50,12,124,13,0.6633,0.5407,0.9219,0.9359,0.6854,8676.9,0.7653,0.003846,81.09,269.7
gemini-3.1-pro,google/gemini-3.1-pro-preview,default,"{""enabled"": true}",200,199,1,3.1658,3.0402,0.1256,0.809,0.8721,0.8428,0.608,0.6583,0.8643,0.9524,0.8235,0.7143,0.8163,60,24,112,3,0.8342,0.8824,0.7302,0.8759,0.8791,2336.2,6.9297,0.034823,22.02,47.21
gpt-oss-120b,openai/gpt-oss-120b,xhigh,"{""effort"": ""xhigh""}",200,178,22,3.236,3.0281,0.2079,1.1067,0.7698,0.7333,0.5562,0.5787,0.8427,0.8966,0.8167,0.7027,0.7879,52,22,98,6,0.764,0.8908,0.5085,0.7852,0.8346,6048.4,0.39,0.002191,62.04,476.58
deepseek-v4-flash,deepseek/deepseek-v4-flash,reasoning_off,"{""enabled"": false}",200,192,8,1.7188,3.0833,-1.3646,1.7604,0.5907,0.5377,0.4375,0.4844,0.8073,0.5645,0.9231,0.7778,0.6542,35,10,120,27,0.5938,0.4621,0.8833,0.8971,0.61,0,0.2962,0.001543,12.9,35.03
gemma-4-31b-it,google/gemma-4-31b-it,high,"{""effort"": ""high""}",200,200,0,3.57,3.025,0.545,1.135,0.7758,0.7614,0.57,0.6,0.79,0.9206,0.7299,0.6105,0.7342,58,37,100,5,0.81,0.9118,0.5938,0.8267,0.8671,3208.8,0.7548,0.003774,126.43,435.77
gpt-oss-120b,openai/gpt-oss-120b,default,"{""effort"": ""minimal""}",200,199,1,3.1106,3.005,0.1055,1.8945,0.5126,0.5312,0.4673,0.4975,0.7186,0.7419,0.708,0.5349,0.6216,46,40,97,16,0.7085,0.7037,0.7188,0.8407,0.7661,120.7,0.1685,0.000847,9.08,44.67
gemma-4-31b-it,google/gemma-4-31b-it,default,,200,200,0,4.555,3.025,1.53,1.87,0.6291,0.6469,0.495,0.495,0.655,0.9841,0.5036,0.4769,0.6425,62,68,69,1,0.77,0.8382,0.625,0.8261,0.8321,0,0.4172,0.002086,18.93,44.48
gemini-3-flash,google/gemini-3-flash-preview,default,,200,200,0,4.67,3.025,1.645,1.975,0.6062,0.6288,0.48,0.48,0.64,0.9841,0.4818,0.4662,0.6327,62,71,66,1,0.755,0.8456,0.5625,0.8042,0.8244,0,3.2426,0.016213,3.96,5.08
