scope,system,n,tp,fp,tn,fn,precision,recall,f1,pass_agree
validation,GPT-OSS-120B,200,52,20,123,5,0.722,0.912,0.806,0.875
validation,DeepSeek-V4-Flash,200,45,16,127,12,0.738,0.789,0.763,0.860
validation,Gemma-4-31B,200,52,36,107,5,0.591,0.912,0.717,0.795
validation,Claude Opus 4.7,200,53,25,118,4,0.679,0.930,0.785,0.855
validation,Gemini 3.1 Pro (high),200,51,26,117,6,0.662,0.895,0.761,0.840
validation,Cheap consensus (trio),200,51,23,120,6,0.689,0.895,0.779,0.855
full1000,DeepSeek-V4-Flash,1000,277,63,596,64,0.815,0.812,0.814,0.873
full1000,GPT-OSS-120B,1000,303,120,539,38,0.716,0.889,0.793,0.842
full1000,Gemma-4-31B,1000,325,183,476,16,0.640,0.953,0.766,0.801
full1000,DeepSeek + GPT-OSS,1000,265,46,613,76,0.852,0.777,0.813,0.878
full1000,DeepSeek + Gemma,1000,277,59,600,64,0.824,0.812,0.818,0.877
full1000,GPT-OSS + Gemma,1000,299,92,567,42,0.765,0.877,0.817,0.866
full1000,Majority vote (trio),1000,311,107,552,30,0.744,0.912,0.819,0.863
full1000,All-three-pass,1000,265,45,614,76,0.855,0.777,0.814,0.879
