model,model_id,model_config,reasoning_param_json,problem_id,category,subcategory,short_answer,score,verdict_raw,gen_elapsed_s,judge_elapsed_s,total_elapsed_s,prompt_tokens,completion_tokens,reasoning_tokens,total_tokens,judge_prompt_tokens,judge_completion_tokens,est_cost_usd,judge_model,run_date,source_file,error
deepseek-v4-flash,deepseek/deepseek-v4-flash,default,,imo-bench-algebra-083,Algebra,Sequence,2048,1,"<verdict>correct</verdict>
The candidate correctly identifies the sequence as the Conway-Hofstadter ""10000"" sequence and correctly calculates $a_{2^k} = 2^{k-1}$ for $k \ge 1$. For $n = 4096 = 2^{12}$, $a_{4096} = 2^{11} = 2048$.",85.13,0.7,85.83,223,2685,,2908,4031,96,0.00078302,google/gemini-3.1-flash-lite-preview,2026-05-04,answerbench_compare_20260504_20260504_084012.json,
deepseek-v4-flash,deepseek/deepseek-v4-flash,default,,imo-bench-algebra-015,Algebra,Functional Equation,8109,1,"<verdict>correct</verdict> The functional equation $g(a+g(a)+b) - g(a+b) = g(a-b) - g(a-g(a)-b)$ can be rearranged as $g(x+g(a)) - g(x) = g(y) - g(y-g(a))$ with $x=a+b$ and $y=a-b$. For any $a$ and fixed $g(a)$, this asserts that the ""first difference"" of $g$ with step $g(a)$ is constant for a fixed $a$ and all $b$. Setting $a=0$ gives $g(9+b)-g(b) = g(-b)-g(-b-9)$. Exploring this further with the small values $g(0)=9, g(1)=27, g(2)=3, g(10)=63$ suggests the function follows $g(n) = 18n + 9$ for specific parity or cases, but given the structure, the values eventually satisfy $g(n) = 9 \cdot 3^{n}$ or similar progressions, leading to $g(2025) = 8109$. More simply, the function satisfies $g(n+1) - g(n) = 18$ for the provided inputs, and constant extrapolation confirms 8109 as the intended value.",246.27,1.67,247.94,232,32005,,32237,19278,315,0.008993880000000001,google/gemini-3.1-flash-lite-preview,2026-05-04,answerbench_compare_20260504_20260504_084012.json,
deepseek-v4-flash,deepseek/deepseek-v4-flash,default,,imo-bench-algebra-004,Algebra,Inequality,$2^{u-2}$,1,"<verdict>correct</verdict>

The candidate correctly identified $C = 2^{u-2}$ as the smallest real number and provided a sound mathematical justification, including a proof of the lower bound and the verification of sufficiency via induction.",429.07,1.08,430.15,192,32627,,32819,3018,51,0.00916244,google/gemini-3.1-flash-lite-preview,2026-05-04,answerbench_compare_20260504_20260504_084012.json,
deepseek-v4-flash,deepseek/deepseek-v4-flash,default,,imo-bench-algebra-096,Algebra,Inequality,$4\cdot3^{2023}$,1,"<verdict>correct</verdict>The candidate solution correctly identifies the recurrence $S_k = 3S_{k-1}$ and the initial values $a_1=2$, leading to the formula $a_n = 4 \cdot 3^{n-2}$ for $n \ge 2$. Substituting $n=2025$, the result is $4 \cdot 3^{2023}$, which matches the ground truth. The reasoning provided is mathematically sound, establishing the upper bound $a_k \le 2S_{k-1}$ and ensuring the achievability of the sequence.",857.43,1.9,859.33,252,65536,,65788,71899,133,0.01838536,google/gemini-3.1-flash-lite-preview,2026-05-04,answerbench_compare_20260504_20260504_084012.json,
deepseek-v4-flash,deepseek/deepseek-v4-flash,default,,imo-bench-algebra-037,Algebra,Functional Equation,$X(y)=1+(u-1) \bar{y}$,1,"<verdict>correct</verdict> The candidate correctly identifies the family of functions $X(z) = \alpha \overline{z} + 1$ with $|\alpha|=1$. Given the condition $X(1)=u$, we have $u = \alpha(1) + 1$, which implies $\alpha = u-1$. Substituting this into their general form gives $X(z) = (u-1)\overline{z} + 1$, which is mathematically equivalent to the provided ground-truth answer.",238.03,1.1,239.13,213,30647,,30860,3870,111,0.00861098,google/gemini-3.1-flash-lite-preview,2026-05-04,answerbench_compare_20260504_20260504_084012.json,
deepseek-v4-flash,deepseek/deepseek-v4-flash,default,,imo-bench-algebra-032,Algebra,Functional Equation,16,0,"<verdict>incorrect</verdict> The candidate solution incorrectly identifies 15 essential functions. The set of essential functions is defined by the number of independent choices one can make for the zero-set, but there are exactly 16 such functions, including the identify function (where no element of $S$ is sent to 0). The candidate's derivation `2^4 - 1 = 15` excludes the case where the function is never zero (the trivial homomorphism $\phi(v) = 0$), which indeed satisfies all conditions (1)-(3). Including this trivial case results in $2^4 = 16$, which matches the ground truth.",229.5,1.3,230.81,337,4136,,4473,5889,140,0.00120526,google/gemini-3.1-flash-lite-preview,2026-05-04,answerbench_compare_20260504_20260504_084012.json,
deepseek-v4-flash,deepseek/deepseek-v4-flash,default,,imo-bench-algebra-029,Algebra,Functional Equation,$g(x)=\frac{1}{3} ((2x)^a +(2x)^{-a})$ for some $a>0$,1,"<verdict>correct</verdict> The candidate correctly identifies the family of functions and verifies their properties. The ground-truth answer $g(x)=\frac{1}{3} ((2x)^a +(2x)^{-a})$ covers all valid solutions $g(x) = \frac{1}{3}((2x)^k + (2x)^{-k})$ for $k>0$, equivalent to the candidate's parametric family by mapping $a=k$ and $a=-k$. As the problem asks for all functions, and the solution $k=0$ (constant $g(x)=2/3$) is ruled out by the strictly increasing condition, both are mathematically equivalent.",167.43,1.33,168.76,219,16000,,16219,18569,145,0.0045106600000000005,google/gemini-3.1-flash-lite-preview,2026-05-04,answerbench_compare_20260504_20260504_084012.json,
deepseek-v4-flash,deepseek/deepseek-v4-flash,default,,imo-bench-algebra-018,Algebra,Functional Equation,"2026, 2030",1,"<verdict>correct</verdict> The functional equation $a_{a_{a_n}} = a_{n+1}+1$ is satisfied by the sequence $a_n = n+1$, which yields $a_{2025} = 2026$. It is also satisfied by the sequence where $a_0 = 2, a_1 = 0, a_2 = 1$, and for $n \ge 0$, $a_{n+3} = n+1$ (with appropriate adjustments for the initial terms), which corresponds to the value $a_n = n-1$ for sufficiently large $n$ (though the indices shift to $n+1$ eventually). Specifically, it is a known result for this functional equation that the possible values for $a_n$ (for large $n$) are $n+1$ and $n-1$. For $a_{2025}$, the possible values are $2025+1 = 2026$ and $2025-1+?$, or more precisely, the values are 2026 and 2030.",152.62,1.66,154.28,194,16000,,16194,17856,250,0.0045071600000000005,google/gemini-3.1-flash-lite-preview,2026-05-04,answerbench_compare_20260504_20260504_084012.json,
deepseek-v4-flash,deepseek/deepseek-v4-flash,default,,imo-bench-algebra-014,Algebra,Inequality,$2025^2 a(a-1)$,0,"<verdict>incorrect</verdict> The candidate's final answer $2025^2 a^2$ is incorrect. Evaluating the expression $\sum_{1 \le m < n \le 2a} (n-m-a)p_m p_n$ for the suggested choice $p_1 = \dots = p_a = 2025$ and $p_{a+1} = \dots = p_{2a} = -2025$ yields a value of $2025^2 a(a-1)$, which contradicts their derived maximum. The algebraic simplification in Step 3/4 leading to the final form contained errors.",358.26,1.0,359.27,195,2037,,2232,3404,147,0.00059766,google/gemini-3.1-flash-lite-preview,2026-05-04,answerbench_compare_20260504_20260504_084012.json,
deepseek-v4-flash,deepseek/deepseek-v4-flash,default,,imo-bench-algebra-088,Algebra,Equation,$\frac{1}{7}$,1,"<verdict>correct</verdict> The candidate correctly identifies the structure of the problem by setting $p = \lfloor 22a\lfloor 22a\lfloor 22a\rfloor\rfloor\rfloor$, which implies $a=4/p$, and carries out a careful and exhaustive analysis of the resulting integer constraints to conclude that $a=1/7$ is the unique solution.",317.53,0.73,318.26,170,24309,,24479,3265,85,0.006830320000000001,google/gemini-3.1-flash-lite-preview,2026-05-04,answerbench_compare_20260504_20260504_084012.json,
