problem_id,difficulty,difficulty_label,model_short,mode_or_n,reasoning,source_experiment,branch_idx,had_v4flash_solve,had_v4pro_solve,v4pro_score,v4pro_validated,v4pro_source,nano_score,nano_validated,solution_text_hash
erdos-659,2,research-easy,deepseek-v4-flash,generate,default,phase1,,False,True,6,True,cached_existing,1,False,27bc4bedcd734f80
first-proof-10-official,2,research-easy,deepseek-v4-flash,generate,default,phase1,,False,True,6,True,cached_existing,1,False,efb4640216c6d9f0
erdos-654,2,research-easy,deepseek-v4-pro,generate,default,phase1,,True,False,1,False,regrade_call,,False,c5d71b4683ae5e52
first-proof-10-official,2,research-easy,deepseek-v4-pro,generate,default,phase1,,True,True,6,True,regrade_call,1,False,80dbc2144bc08ad7
first-proof-10-official,2,research-easy,gemini-3-flash-preview,generate,default,phase1,,False,True,6,True,cached_existing,1,False,4c1edff8f58728ba
first-proof-10-official,2,research-easy,gemma-4-31b-it,generate,default,phase1,,False,True,6,True,cached_existing,1,False,e354502cb9b1c43e
first-proof-10-official,2,research-easy,gpt-oss-120b,generate,default,phase1,,True,True,6,True,cached_existing,1,False,99a98d8aaaa1f4f8
first-proof-10-official,2,research-easy,qwen3.6-35b-a3b,generate,default,phase1,,True,True,6,True,cached_existing,1,False,86e6f8e3fe5f8d84
first-proof-10-official,2,research-easy,deepseek-v4-flash,full,default,phase1,,True,True,6,True,cached_existing,6,True,4ecd2d89b3dc8cbd
erdos-654,2,research-easy,deepseek-v4-pro,full,default,phase1,,True,True,7,True,cached_existing,6,True,c42fd3f077b0e327
first-proof-10-official,2,research-easy,deepseek-v4-pro,full,default,phase1,,True,True,6,True,cached_existing,1,False,a5ef05d68d0f9a83
first-proof-10-official,2,research-easy,gemini-3-flash-preview,full,default,phase1,,True,False,1,False,regrade_call,,False,8cf041a0dd13c23d
first-proof-10-official,2,research-easy,gemma-4-31b-it,full,default,phase1,,True,False,1,False,regrade_call,,False,5db69a23d7f53197
first-proof-10-official,2,research-easy,qwen3.6-35b-a3b,full,default,phase1,,True,False,0,False,regrade_call,,False,d2e44d9676a34884
erdos-397,1,competition-hard,deepseek-v4-flash,seed_generate,default,phase1,,True,False,0,False,regrade_call,,False,bc5a335776a7a2a2
first-proof-10-official,2,research-easy,deepseek-v4-flash,seed_generate,default,phase1,,True,True,6,True,cached_existing,1,False,785551c8cf7e0158
first-proof-10-official,2,research-easy,deepseek-v4-pro,seed_generate,default,phase1,,True,True,6,True,cached_existing,1,False,67a43c1bf4e6cf0e
first-proof-5-official,3,research-medium,deepseek-v4-pro,seed_generate,default,phase1,,True,False,0,False,regrade_call,,False,e027515ea413347f
first-proof-10-official,2,research-easy,gemma-4-31b-it,seed_generate,default,phase1,,False,True,6,True,cached_existing,1,False,6a9f034f9815972f
erdos-654,2,research-easy,gpt-oss-120b,seed_generate,default,phase1,,False,True,7,True,cached_existing,0,False,01fc6d8781c4dee7
first-proof-10-official,2,research-easy,qwen3.6-35b-a3b,seed_generate,default,phase1,,True,False,6,True,regrade_call,1,False,d84e642ccc4ed7d4
first-proof-10-official,2,research-easy,gemma-4-31b-it,seed_full,default,phase2,,True,False,1,False,regrade_call,,False,752de9116d31dbf0
erdos-654,2,research-easy,deepseek-v4-flash,seed_full,default,phase3,,True,True,6,True,cached_existing,7,True,0b8dcc6e6be5ab91
first-proof-10-official,2,research-easy,deepseek-v4-flash,seed_full,default,phase3,,True,True,6,True,cached_existing,2,False,1e9298ec529f18db
first-proof-10-official,2,research-easy,gemma-4-31b-it,generate,max,phase1_reasoning,,True,False,0,False,regrade_call,,False,ac4aa61ed561d7ba
first-proof-10-official,2,research-easy,gpt-oss-120b,generate,max,phase1_reasoning,,True,False,0,False,regrade_call,,False,1e9140192cfd491e
first-proof-10-official,2,research-easy,gemma-4-31b-it,full,max,phase1_reasoning,,True,False,1,False,regrade_call,,False,96bb75ee505168c2
erdos-654,2,research-easy,gpt-oss-120b,full,max,phase1_reasoning,,True,False,0,False,regrade_call,,False,1e1b535796183395
first-proof-10-official,2,research-easy,gemma-4-31b-it,seed_generate,max,phase1_reasoning,,True,False,1,False,regrade_call,,False,4d7cd26f77e1be32
first-proof-10-official,2,research-easy,gpt-oss-120b,seed_generate,max,phase1_reasoning,,True,False,6,True,regrade_call,1,False,195ceba2308bb8f5
erdos-333,2,research-easy,gemma-4-31b-it,seed_full,max,phase1_reasoning,,True,False,6,True,regrade_call,1,False,09c5bb2f12c13121
erdos-654,2,research-easy,gemma-4-31b-it,seed_full,max,phase1_reasoning,,True,False,7,True,regrade_call,7,True,1e89679457f356f3
first-proof-10-official,2,research-easy,gemma-4-31b-it,seed_full,max,phase1_reasoning,,True,False,6,True,regrade_call,1,False,df95e1931a1e8a23
first-proof-10-official,2,research-easy,gpt-oss-120b,seed_full,max,phase1_reasoning,,True,False,0,False,regrade_call,,False,a51f469b129d6045
erdos-1051,,,deepseek-v4-flash,best_of_n_branch6,default,scaling_v4flash,6,True,False,0,False,regrade_call,,False,2d0328373316dd60
erdos-659,,,deepseek-v4-flash,best_of_n_branch2,default,scaling_v4flash,2,True,False,6,True,regrade_call,1,False,27bc4bedcd734f80
first-proof-10-official,,,deepseek-v4-flash,best_of_n_branch1,default,scaling_v4flash,1,True,False,6,True,regrade_call,1,False,efb4640216c6d9f0
first-proof-10-official,,,deepseek-v4-flash,best_of_n_branch2,default,scaling_v4flash,2,True,False,6,True,regrade_call,1,False,e0f22dd26619ef3e
first-proof-10-official,,,deepseek-v4-flash,best_of_n_branch4,default,scaling_v4flash,4,True,False,6,True,regrade_call,1,False,43073f1061a47349
