model,model_id,model_config,reasoning_param_json,problem_id,category,subcategory,short_answer,score,verdict_raw,gen_elapsed_s,judge_elapsed_s,total_elapsed_s,prompt_tokens,completion_tokens,reasoning_tokens,total_tokens,judge_prompt_tokens,judge_completion_tokens,est_cost_usd,judge_model,run_date,source_file,error
gemini-3.1-pro-preview,google/gemini-3.1-pro-preview,default,,imo-bench-algebra-004,Algebra,Inequality,$2^{u-2}$,1,"<verdict>correct</verdict> The candidate solution clearly identifies $C = 2^{u-2}$ as the value for the constant, noting it is both a necessary lower bound derived from local analysis and stating it as the result for the problem.",175.34,1.35,176.7,0,0,,0,2162,53,0.0,google/gemini-3.1-flash-lite-preview,2026-05-04,expensive_models_compare_20260504_20260505_012855_partial.json,
gemini-3.1-pro-preview,google/gemini-3.1-pro-preview,default,,imo-bench-algebra-012,Algebra,Other,$\frac{1}{2}$,1,<verdict>correct</verdict> The candidate correctly identified the minimum value of $T$ and provided a logical proof covering both the upper bound and the necessity of the minimum value.,206.39,0.8,207.19,210,33468,,33678,3223,38,0.402036,google/gemini-3.1-flash-lite-preview,2026-05-04,expensive_models_compare_20260504_20260505_012855_partial.json,
gemini-3.1-pro-preview,google/gemini-3.1-pro-preview,default,,imo-bench-algebra-088,Algebra,Equation,$\frac{1}{7}$,1,"<verdict>correct</verdict> The candidate correctly identified $a=1/7$ by setting $k=28$ in the auxiliary equation $a=4/k$, and verified the result through exhaustive consideration of the integer values for the floor function.",125.83,0.94,126.77,175,17693,,17868,3554,55,0.212666,google/gemini-3.1-flash-lite-preview,2026-05-04,expensive_models_compare_20260504_20260505_012855_partial.json,
gemini-3.1-pro-preview,google/gemini-3.1-pro-preview,default,,imo-bench-combinatorics-026,Combinatorics,Enumerative Combinatorics,847288609444,0,"<verdict>incorrect</verdict> The candidate correctly identified the structure of the colorings but incorrectly calculated the total sum. The expression derived was $\sum_{k=0}^{25} \binom{25}{k} 2^{25-k} = 3^{25}$, but the candidate then added 1 to this value, whereas the case for an empty $Z^c$ (which corresponds to all $c(A)=0$) is already included or handled by the binomial expansion depending on interpretation. Specifically, $3^{25} = 847288609443$, and $847288609443 + 1 = 847288609444$. However, the sum $\sum_{M \subseteq S} 2^{25-|M|}$ already includes the case where $M=S$ and $2^{25-25} = 1$ (the coloring $f(T)=0$ for $T \subsetneq S$ and $f(S)=1$), thus adding 1 a second time is incorrect. Wait, the ground truth is $847288609444$, which is $3^{25}+1$. Reviewing the math: $3^{25} = 847288609443$. Adding 1 yields exactly the ground truth. The candidate's final calculation $3^{25}+1$ is indeed $847288609444$.",168.81,2.08,170.89,285,24238,,24523,2947,340,0.291426,google/gemini-3.1-flash-lite-preview,2026-05-04,expensive_models_compare_20260504_20260505_012855_partial.json,
gemini-3.1-pro-preview,google/gemini-3.1-pro-preview,default,,imo-bench-combinatorics-028,Combinatorics,Operations,1198,0,<verdict>incorrect</verdict> The candidate solution does not reach a final numerical answer or provide any result; it only describes an exploration of the problem's dynamics.,125.46,0.98,126.43,0,0,,0,1188,36,0.0,google/gemini-3.1-flash-lite-preview,2026-05-04,expensive_models_compare_20260504_20260505_012855_partial.json,
gemini-3.1-pro-preview,google/gemini-3.1-pro-preview,default,,imo-bench-combinatorics-084,Combinatorics,Operations,3,1,<verdict>correct</verdict> The candidate correctly identifies the smallest number of tuples required as 3 and provides a sound construction and explanation of why $s=2$ is insufficient to span the set of all $n$-tuples.,249.47,0.82,250.29,423,34043,,34466,3208,49,0.409362,google/gemini-3.1-flash-lite-preview,2026-05-04,expensive_models_compare_20260504_20260505_012855_partial.json,
gemini-3.1-pro-preview,google/gemini-3.1-pro-preview,default,,imo-bench-geometry-021,Geometry,combinatorial_geometry,499000,1,"<verdict>correct</verdict> The candidate correctly calculates the total number of diagonals ($D=499,499$), identifies the constraint logic, and correctly derives $n = D - \lfloor \frac{N-3}{2} \rfloor = 499,499 - 499 = 499,000$.",199.28,0.89,200.17,173,26932,,27105,2406,79,0.32353000000000004,google/gemini-3.1-flash-lite-preview,2026-05-04,expensive_models_compare_20260504_20260505_012855_partial.json,
gemini-3.1-pro-preview,google/gemini-3.1-pro-preview,default,,imo-bench-geometry-029,Geometry,computation,90,1,"<verdict>correct</verdict> The candidate correctly sets up the geometry, performs the coordinate geometry derivations, and proves the orthogonality of $\vec{JR}$ and $\vec{JS}$ via their dot product, leading to the correct result of $90^\circ$.",159.38,0.83,160.21,266,22152,,22418,3277,56,0.266356,google/gemini-3.1-flash-lite-preview,2026-05-04,expensive_models_compare_20260504_20260505_012855_partial.json,
gemini-3.1-pro-preview,google/gemini-3.1-pro-preview,default,,imo-bench-geometry-036,Geometry,computation,$\frac{a\sqrt{19}}{2}$,1,"<verdict>correct</verdict>

The candidate correctly followed the geometric steps, applied the Law of Cosines to find the side lengths of triangle $YPQ$, and utilized Apollonius's theorem correctly to arrive at $YR = \frac{a\sqrt{19}}{2}$.",35.21,0.78,35.99,243,4672,,4915,2052,62,0.05655,google/gemini-3.1-flash-lite-preview,2026-05-04,expensive_models_compare_20260504_20260505_012855_partial.json,
gemini-3.1-pro-preview,google/gemini-3.1-pro-preview,default,,imo-bench-number_theory-045,Number theory,Sequence,2030,1,"<verdict>correct</verdict> The candidate correctly identifies the condition for $n$ being a ""cool"" integer (that $n(n+1)/2$ is not a perfect square) and correctly finds the 2025th such integer by identifying the five non-cool integers less than 2030 ($1, 8, 49, 288, 1681$). Since $2030 - 5 = 2025$, the answer 2030 is correct.",145.14,0.95,146.09,206,19507,,19713,2858,116,0.234496,google/gemini-3.1-flash-lite-preview,2026-05-04,expensive_models_compare_20260504_20260505_012855_partial.json,
