experiment,source_experiment,mode,condition,model_short,model_id,reasoning,problem_id,level,difficulty,difficulty_label,is_26_research,v4flash_score,v4flash_pass,v4pro_score,gemini_score,pass_at_1_v4flash,n_branches,cost_usd,elapsed_s,error
architecture,phase1,generate,generate,deepseek-v4-flash,openrouter/deepseek/deepseek-v4-flash,default,PB-Advanced-001,IMO-easy,1,competition-hard,False,7,True,7,7,7,3,0.081383,2612.01,
architecture,phase1,generate,generate,deepseek-v4-flash,openrouter/deepseek/deepseek-v4-flash,default,PB-Advanced-002,IMO-medium,1,competition-hard,False,0,False,0,7,0,3,0.137356,5139.12,
architecture,phase1,generate,generate,deepseek-v4-flash,openrouter/deepseek/deepseek-v4-flash,default,PB-Advanced-003,IMO-hard,1,competition-hard,False,1,False,0,0,0,3,0.186345,4180.84,
architecture,phase1,generate,generate,deepseek-v4-flash,openrouter/deepseek/deepseek-v4-flash,default,PB-Advanced-004,IMO-easy,1,competition-hard,False,7,True,7,7,7,3,0.151029,3685.8,
architecture,phase1,generate,generate,deepseek-v4-flash,openrouter/deepseek/deepseek-v4-flash,default,PB-Advanced-005,IMO-medium,1,competition-hard,False,0,False,0,0,0,3,0.222843,7440.01,
architecture,phase1,generate,generate,deepseek-v4-flash,openrouter/deepseek/deepseek-v4-flash,default,PB-Advanced-006,IMO-hard,1,competition-hard,False,0,False,1,0,1,3,0.226428,3457.6,
architecture,phase1,generate,generate,deepseek-v4-flash,openrouter/deepseek/deepseek-v4-flash,default,PB-Advanced-007,IMO-easy,1,competition-hard,False,7,True,7,7,7,3,0.081318,2077.45,
architecture,phase1,generate,generate,deepseek-v4-flash,openrouter/deepseek/deepseek-v4-flash,default,PB-Advanced-008,IMO-medium,1,competition-hard,False,0,False,1,7,0,3,0.165757,3495.45,
architecture,phase1,generate,generate,deepseek-v4-flash,openrouter/deepseek/deepseek-v4-flash,default,PB-Advanced-009,IMO-hard,1,competition-hard,False,0,False,0,6,0,3,0.218462,3592.59,
architecture,phase1,generate,generate,deepseek-v4-flash,openrouter/deepseek/deepseek-v4-flash,default,PB-Advanced-010,IMO-medium,1,competition-hard,False,0,False,1,7,0,3,0.249892,5271.95,
architecture,phase1,generate,generate,deepseek-v4-flash,openrouter/deepseek/deepseek-v4-flash,default,PB-Advanced-011,IMO-medium,1,competition-hard,False,0,False,0,0,,3,0.19093,4054.53,
architecture,phase1,generate,generate,deepseek-v4-flash,openrouter/deepseek/deepseek-v4-flash,default,PB-Advanced-012,IMO-hard,1,competition-hard,False,0,False,1,7,0,3,0.080581,4424.76,
architecture,phase1,generate,generate,deepseek-v4-flash,openrouter/deepseek/deepseek-v4-flash,default,PB-Advanced-013,IMO-easy,1,competition-hard,False,0,False,1,0,0,3,0.225798,4960.12,
architecture,phase1,generate,generate,deepseek-v4-flash,openrouter/deepseek/deepseek-v4-flash,default,PB-Advanced-014,IMO-medium,1,competition-hard,False,6,True,6,7,6,3,0.168075,3764.5,
architecture,phase1,generate,generate,deepseek-v4-flash,openrouter/deepseek/deepseek-v4-flash,default,PB-Advanced-015,IMO-hard,1,competition-hard,False,0,False,0,0,0,3,0.233342,2564.52,
architecture,phase1,generate,generate,deepseek-v4-flash,openrouter/deepseek/deepseek-v4-flash,default,PB-Advanced-016,IMO-easy,1,competition-hard,False,0,False,0,7,0,3,0.23067,2643.21,
architecture,phase1,generate,generate,deepseek-v4-flash,openrouter/deepseek/deepseek-v4-flash,default,PB-Advanced-017,IMO-easy,1,competition-hard,False,1,False,1,7,6,3,0.064435,1758.89,
architecture,phase1,generate,generate,deepseek-v4-flash,openrouter/deepseek/deepseek-v4-flash,default,PB-Advanced-018,IMO-hard,1,competition-hard,False,0,False,0,0,0,3,0.087114,3257.89,
architecture,phase1,generate,generate,deepseek-v4-flash,openrouter/deepseek/deepseek-v4-flash,default,PB-Advanced-019,IMO-easy,1,competition-hard,False,7,True,7,7,7,3,0.07821,2304.78,
