/Users/benjamingrayzel/sandbox/agentic-math-solver/.venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
Phase-1 file: /tmp/phase1_partial_late.json
Items to re-judge: 70
[1/70] hadamard                   warmup         deepseek-v4-flash        seed=44  consensus=incorrect (2/3)  | gpt-oss-120b=incorrect gemini-3.1-pro-preview=incorrect deepseek-v4-flash=partial
[2/70] unknotting-number          warmup         deepseek-v4-flash        seed=46  consensus=incorrect (2/3)  | gpt-oss-120b=correct gemini-3.1-pro-preview=incorrect deepseek-v4-flash=incorrect
[3/70] large-steiner-systems      full_problem   deepseek-v4-flash        seed=43  consensus=incorrect (3/3)  | gpt-oss-120b=incorrect gemini-3.1-pro-preview=incorrect deepseek-v4-flash=incorrect
[4/70] klt-del-pezzo-surface      full_problem   deepseek-v4-flash        seed=43  consensus=incorrect (2/3)  | gpt-oss-120b=incorrect gemini-3.1-pro-preview=partial deepseek-v4-flash=incorrect
[5/70] degree-sensitivity-boolean warmup         deepseek-v4-flash        seed=43  consensus=correct (1/3)  | gpt-oss-120b=correct gemini-3.1-pro-preview=incorrect deepseek-v4-flash=partial
[6/70] stretched-lr-coefficients  full_problem   gpt-oss-120b             seed=43  consensus=incorrect (2/3)  | gpt-oss-120b=partial gemini-3.1-pro-preview=incorrect deepseek-v4-flash=incorrect
[7/70] inverse-galois             full_problem   deepseek-v4-flash        seed=46  consensus=correct (3/3)  | gpt-oss-120b=correct gemini-3.1-pro-preview=correct deepseek-v4-flash=correct
[8/70] ramsey-book-graphs         full_problem   deepseek-v4-flash        seed=45  consensus=incorrect (2/3)  | gpt-oss-120b=partial gemini-3.1-pro-preview=incorrect deepseek-v4-flash=incorrect
[9/70] degree-sensitivity-boolean warmup         gpt-oss-120b             seed=43  consensus=incorrect (2/3)  | gpt-oss-120b=correct gemini-3.1-pro-preview=incorrect deepseek-v4-flash=incorrect
[10/70] large-steiner-systems      warmup         deepseek-v4-flash        seed=44  consensus=incorrect (2/3)  | gpt-oss-120b=partial gemini-3.1-pro-preview=incorrect deepseek-v4-flash=incorrect
[11/70] small-diophantine          warmup         gpt-oss-120b             seed=45  consensus=correct (1/3)  | gpt-oss-120b=correct gemini-3.1-pro-preview=partial deepseek-v4-flash=incorrect
[12/70] stretched-lr-coefficients  full_problem   gpt-oss-120b             seed=45  consensus=incorrect (2/3)  | gpt-oss-120b=correct gemini-3.1-pro-preview=incorrect deepseek-v4-flash=incorrect
[13/70] explicit-deformations      warmup         gpt-oss-120b             seed=46  consensus=correct (3/3)  | gpt-oss-120b=correct gemini-3.1-pro-preview=correct deepseek-v4-flash=correct
[14/70] prime-factorization        warmup         deepseek-v4-flash        seed=46  consensus=correct (1/3)  | gpt-oss-120b=correct gemini-3.1-pro-preview=incorrect deepseek-v4-flash=partial
[15/70] small-diophantine          warmup         gpt-oss-120b             seed=43  consensus=partial (2/3)  | gpt-oss-120b=partial gemini-3.1-pro-preview=partial deepseek-v4-flash=incorrect
[16/70] explicit-deformations      warmup         gpt-oss-120b             seed=42  consensus=correct (3/3)  | gpt-oss-120b=correct gemini-3.1-pro-preview=correct deepseek-v4-flash=correct
[17/70] inverse-galois             warmup         deepseek-v4-flash        seed=43  consensus=incorrect (3/3)  | gpt-oss-120b=incorrect gemini-3.1-pro-preview=incorrect deepseek-v4-flash=incorrect
[18/70] unknotting-number          warmup         gpt-oss-120b             seed=44  consensus=incorrect (2/3)  | gpt-oss-120b=correct gemini-3.1-pro-preview=incorrect deepseek-v4-flash=incorrect
[19/70] small-diophantine          warmup         gpt-oss-120b             seed=44  consensus=incorrect (2/3)  | gpt-oss-120b=incorrect gemini-3.1-pro-preview=partial deepseek-v4-flash=incorrect
[20/70] unknotting-number          warmup         gpt-oss-120b             seed=45  consensus=correct (1/3)  | gpt-oss-120b=correct gemini-3.1-pro-preview=incorrect deepseek-v4-flash=partial
[21/70] explicit-deformations      warmup         deepseek-v4-flash        seed=43  consensus=correct (2/3)  | gpt-oss-120b=almost gemini-3.1-pro-preview=correct deepseek-v4-flash=correct
[22/70] inverse-galois             warmup         deepseek-v4-flash        seed=45  consensus=correct (2/3)  | gpt-oss-120b=correct gemini-3.1-pro-preview=correct deepseek-v4-flash=incorrect
[23/70] symplectic-ball-packing    full_problem   gpt-oss-120b             seed=45  consensus=incorrect (2/3)  | gpt-oss-120b=correct gemini-3.1-pro-preview=incorrect deepseek-v4-flash=incorrect
[24/70] symplectic-ball-packing    warmup         gpt-oss-120b             seed=45  consensus=incorrect (2/3)  | gpt-oss-120b=almost gemini-3.1-pro-preview=incorrect deepseek-v4-flash=incorrect
[25/70] explicit-deformations      warmup         gpt-oss-120b             seed=45  consensus=correct (3/3)  | gpt-oss-120b=correct gemini-3.1-pro-preview=correct deepseek-v4-flash=correct
[26/70] inverse-galois             full_problem   deepseek-v4-flash        seed=43  consensus=incorrect (3/3)  | gpt-oss-120b=incorrect gemini-3.1-pro-preview=incorrect deepseek-v4-flash=incorrect
[27/70] prime-factorization        warmup         gpt-oss-120b             seed=42  consensus=incorrect (2/3)  | gpt-oss-120b=correct gemini-3.1-pro-preview=incorrect deepseek-v4-flash=incorrect
[28/70] inverse-galois             warmup         deepseek-v4-flash        seed=46  consensus=correct (3/3)  | gpt-oss-120b=correct gemini-3.1-pro-preview=correct deepseek-v4-flash=correct
[29/70] hadamard                   full_problem   deepseek-v4-flash        seed=42  consensus=correct (1/3)  | gpt-oss-120b=correct gemini-3.1-pro-preview=incorrect deepseek-v4-flash=almost
[30/70] symplectic-ball-packing    warmup         gpt-oss-120b             seed=43  consensus=incorrect (2/3)  | gpt-oss-120b=correct gemini-3.1-pro-preview=incorrect deepseek-v4-flash=incorrect
[31/70] large-steiner-systems      warmup         deepseek-v4-flash        seed=43  consensus=partial (2/3)  | gpt-oss-120b=partial gemini-3.1-pro-preview=partial deepseek-v4-flash=incorrect
[32/70] degree-sensitivity-boolean warmup         deepseek-v4-flash        seed=44  consensus=correct (3/3)  | gpt-oss-120b=correct gemini-3.1-pro-preview=correct deepseek-v4-flash=correct
[33/70] inverse-galois             full_problem   gpt-oss-120b             seed=44  consensus=incorrect (2/3)  | gpt-oss-120b=correct gemini-3.1-pro-preview=incorrect deepseek-v4-flash=incorrect
[34/70] inverse-galois             full_problem   deepseek-v4-flash        seed=44  consensus=correct (2/3)  | gpt-oss-120b=correct gemini-3.1-pro-preview=correct deepseek-v4-flash=incorrect
[35/70] inverse-galois             warmup         gpt-oss-120b             seed=45  consensus=incorrect (2/3)  | gpt-oss-120b=incorrect gemini-3.1-pro-preview=correct deepseek-v4-flash=incorrect
[36/70] klt-del-pezzo-surface      full_problem   gpt-oss-120b             seed=46  consensus=incorrect (3/3)  | gpt-oss-120b=incorrect gemini-3.1-pro-preview=incorrect deepseek-v4-flash=incorrect
[37/70] symplectic-ball-packing    warmup         deepseek-v4-flash        seed=44  consensus=incorrect (2/3)  | gpt-oss-120b=partial gemini-3.1-pro-preview=incorrect deepseek-v4-flash=incorrect
[38/70] symplectic-ball-packing    full_problem   deepseek-v4-flash        seed=43  consensus=correct (2/3)  | gpt-oss-120b=correct gemini-3.1-pro-preview=correct deepseek-v4-flash=incorrect
[39/70] unknotting-number          full_problem   deepseek-v4-flash        seed=43  consensus=correct (2/3)  | gpt-oss-120b=correct gemini-3.1-pro-preview=correct deepseek-v4-flash=partial
[40/70] ramsey-book-graphs         warmup         gpt-oss-120b             seed=42  consensus=partial (2/3)  | gpt-oss-120b=partial gemini-3.1-pro-preview=partial deepseek-v4-flash=incorrect
[41/70] prime-factorization        warmup         gpt-oss-120b             seed=44  consensus=correct (1/3)  | gpt-oss-120b=correct gemini-3.1-pro-preview=incorrect deepseek-v4-flash=partial
[42/70] explicit-deformations      warmup         gpt-oss-120b             seed=44  consensus=correct (3/3)  | gpt-oss-120b=correct gemini-3.1-pro-preview=correct deepseek-v4-flash=correct
[43/70] klt-del-pezzo-surface      full_problem   gpt-oss-120b             seed=44  consensus=incorrect (2/3)  | gpt-oss-120b=correct gemini-3.1-pro-preview=incorrect deepseek-v4-flash=incorrect
[44/70] inverse-galois             full_problem   deepseek-v4-flash        seed=45  consensus=correct (3/3)  | gpt-oss-120b=correct gemini-3.1-pro-preview=correct deepseek-v4-flash=correct
[45/70] inverse-galois             warmup         gpt-oss-120b             seed=46  consensus=correct (3/3)  | gpt-oss-120b=correct gemini-3.1-pro-preview=correct deepseek-v4-flash=correct
[46/70] klt-del-pezzo-surface      warmup         deepseek-v4-flash        seed=43  consensus=incorrect (2/3)  | gpt-oss-120b=correct gemini-3.1-pro-preview=incorrect deepseek-v4-flash=incorrect
[47/70] klt-del-pezzo-surface      warmup         gpt-oss-120b             seed=42  consensus=correct (1/3)  | gpt-oss-120b=correct gemini-3.1-pro-preview=partial deepseek-v4-flash=incorrect
[48/70] prime-factorization        warmup         deepseek-v4-flash        seed=42  consensus=incorrect (2/3)  | gpt-oss-120b=correct gemini-3.1-pro-preview=incorrect deepseek-v4-flash=incorrect
[49/70] klt-del-pezzo-surface      full_problem   gpt-oss-120b             seed=45  consensus=correct (1/3)  | gpt-oss-120b=correct gemini-3.1-pro-preview=partial deepseek-v4-flash=incorrect
[50/70] ramsey-book-graphs         warmup         deepseek-v4-flash        seed=42  consensus=incorrect (2/3)  | gpt-oss-120b=correct gemini-3.1-pro-preview=incorrect deepseek-v4-flash=incorrect
[51/70] prime-factorization        warmup         deepseek-v4-flash        seed=45  consensus=partial (2/3)  | gpt-oss-120b=correct gemini-3.1-pro-preview=partial deepseek-v4-flash=partial
[52/70] klt-del-pezzo-surface      warmup         deepseek-v4-flash        seed=45  consensus=incorrect (2/3)  | gpt-oss-120b=correct gemini-3.1-pro-preview=incorrect deepseek-v4-flash=incorrect
[53/70] symplectic-ball-packing    warmup         deepseek-v4-flash        seed=43  consensus=incorrect (2/3)  | gpt-oss-120b=correct gemini-3.1-pro-preview=incorrect deepseek-v4-flash=incorrect
[54/70] klt-del-pezzo-surface      warmup         gpt-oss-120b             seed=45  consensus=incorrect (2/3)  | gpt-oss-120b=correct gemini-3.1-pro-preview=incorrect deepseek-v4-flash=incorrect
[55/70] ramsey-book-graphs         warmup         deepseek-v4-flash        seed=43  consensus=partial (2/3)  | gpt-oss-120b=almost gemini-3.1-pro-preview=partial deepseek-v4-flash=partial
