experiment,source_experiment,model_short,model_id,reasoning,problem_id,level,difficulty,difficulty_label,is_26_research,n,branches_available,subsets_used,pass_at_n_mean_v4flash,pass_at_n_std_v4flash,pass_at_n_pass_rate_v4flash,pass_at_n_mean_v4pro,pass_at_n_std_v4pro,pass_at_n_mean_gemini,pass_at_n_std_gemini
scaling,scaling,gemma-4-31b-it,openrouter/google/gemma-4-31b-it,default,PB-Advanced-001,IMO-easy,1,competition-hard,False,1,9,9,1.4444,2.7126,0.2222,0.1429,0.3499,7,0.0
scaling,scaling,gemma-4-31b-it,openrouter/google/gemma-4-31b-it,default,PB-Advanced-001,IMO-easy,1,competition-hard,False,3,9,84,3.8333,3.2617,0.5833,0.4286,0.4949,7,0.0
scaling,scaling,gemma-4-31b-it,openrouter/google/gemma-4-31b-it,default,PB-Advanced-001,IMO-easy,1,competition-hard,False,5,9,126,5.5556,2.5215,0.8333,0.7143,0.4518,7,0.0
scaling,scaling,gemma-4-31b-it,openrouter/google/gemma-4-31b-it,default,PB-Advanced-001,IMO-easy,1,competition-hard,False,7,9,36,6.6111,1.185,0.9722,1.0,0.0,7.0,0.0
scaling,scaling,gemma-4-31b-it,openrouter/google/gemma-4-31b-it,default,PB-Advanced-001,IMO-easy,1,competition-hard,False,9,9,1,7.0,0.0,1.0,,,,
scaling,scaling,gemma-4-31b-it,openrouter/google/gemma-4-31b-it,default,PB-Advanced-002,IMO-medium,1,competition-hard,False,1,9,9,0,0.0,0.0,0,0.0,1,2.4495
scaling,scaling,gemma-4-31b-it,openrouter/google/gemma-4-31b-it,default,PB-Advanced-002,IMO-medium,1,competition-hard,False,3,9,84,0,0.0,0.0,0,0.0,3,3.4641
scaling,scaling,gemma-4-31b-it,openrouter/google/gemma-4-31b-it,default,PB-Advanced-002,IMO-medium,1,competition-hard,False,5,9,126,0,0.0,0.0,0,0.0,5,3.1623
scaling,scaling,gemma-4-31b-it,openrouter/google/gemma-4-31b-it,default,PB-Advanced-002,IMO-medium,1,competition-hard,False,7,9,36,0,0.0,0.0,0.0,0.0,7.0,0.0
scaling,scaling,gemma-4-31b-it,openrouter/google/gemma-4-31b-it,default,PB-Advanced-002,IMO-medium,1,competition-hard,False,9,9,1,0.0,0.0,0.0,,,,
scaling,scaling,gemma-4-31b-it,openrouter/google/gemma-4-31b-it,default,PB-Advanced-003,IMO-hard,1,competition-hard,False,1,9,9,0,0.0,0.0,0,0.0,0,0.0
scaling,scaling,gemma-4-31b-it,openrouter/google/gemma-4-31b-it,default,PB-Advanced-003,IMO-hard,1,competition-hard,False,3,9,84,0,0.0,0.0,0,0.0,0,0.0
scaling,scaling,gemma-4-31b-it,openrouter/google/gemma-4-31b-it,default,PB-Advanced-003,IMO-hard,1,competition-hard,False,5,9,126,0,0.0,0.0,0,0.0,0,0.0
scaling,scaling,gemma-4-31b-it,openrouter/google/gemma-4-31b-it,default,PB-Advanced-003,IMO-hard,1,competition-hard,False,7,9,36,0,0.0,0.0,0.0,0.0,0.0,0.0
scaling,scaling,gemma-4-31b-it,openrouter/google/gemma-4-31b-it,default,PB-Advanced-003,IMO-hard,1,competition-hard,False,9,9,1,0.0,0.0,0.0,,,,
scaling,scaling,gemma-4-31b-it,openrouter/google/gemma-4-31b-it,default,PB-Advanced-004,IMO-easy,1,competition-hard,False,1,9,9,0.6667,1.8856,0.1111,0.2857,0.4518,6.8571,0.3499
scaling,scaling,gemma-4-31b-it,openrouter/google/gemma-4-31b-it,default,PB-Advanced-004,IMO-easy,1,competition-hard,False,3,9,84,2,2.8284,0.3333,0.7143,0.4518,7,0.0
