source_experiment,mode,model_short,reasoning,n_trials,n_valid_v4flash,mean_score_v4flash,pass_rate_v4flash,mean_score_pre_imo,mean_score_imo,mean_score_research,research_solves,mean_cost_usd
gpt5_nano_pass3,generate,gpt-5.4-nano,max,70,0,,,,,,0,
phase1,full,deepseek-v4-flash,default,70,69,3.3768,0.4783,7,3.2692,0.7778,1,0.0751
phase1,full,deepseek-v4-pro,default,70,66,3.8485,0.5455,7,3.68,1.75,2,0.213
phase1,full,gemini-3-flash-preview,default,70,69,1.5942,0.2319,6,1.0577,0.7778,1,0.0718
phase1,full,gemma-4-31b-it,default,70,70,1.3857,0.2,4.375,1.0566,0.6667,1,0.018
phase1,full,gpt-oss-120b,default,70,69,1.5797,0.2174,5.375,1.2692,0,0,0.0171
phase1,full,qwen3.6-35b-a3b,default,70,69,1.6232,0.2319,5.25,1.2308,0.6667,1,0.0858
phase1,generate,deepseek-v4-flash,default,70,68,3.2206,0.4559,7,3.1346,0,0,0.1399
phase1,generate,deepseek-v4-pro,default,69,64,3.5312,0.5,7,3.25,1.75,2,0.2113
phase1,generate,gemini-3-flash-preview,default,70,70,1.8286,0.2571,6.125,1.4717,0.1111,0,0.0556
phase1,generate,gemma-4-31b-it,default,70,69,1.4928,0.2174,5.375,1.1538,0,0,0.0309
phase1,generate,gpt-oss-120b,default,70,68,1.3382,0.1912,5.375,0.8235,0.6667,1,0.0285
phase1,generate,qwen3.6-35b-a3b,default,70,67,2.0896,0.2985,6,1.7,0.7778,1,0.1484
phase1,seed_generate,deepseek-v4-flash,default,70,69,3.4058,0.4928,6.875,3.3269,0.7778,1,0.136
phase1,seed_generate,deepseek-v4-pro,default,70,70,3.4143,0.4857,7,3.1887,1.5556,2,0.2312
phase1,seed_generate,gemini-3-flash-preview,default,70,68,1.5441,0.2206,7,1.0769,0,0,0.0523
phase1,seed_generate,gemma-4-31b-it,default,70,70,1.4857,0.2143,5.125,1.1887,0,0,0.03
phase1,seed_generate,gpt-oss-120b,default,70,69,1.087,0.1594,3.375,0.9231,0,0,0.0285
phase1,seed_generate,qwen3.6-35b-a3b,default,70,70,2.1,0.3,5.25,1.8679,0.6667,1,0.1394
phase1_reasoning,full,gemma-4-31b-it,max,70,70,2.1714,0.3,5.375,1.9245,0.7778,1,0.0193
phase1_reasoning,full,gpt-oss-120b,max,70,68,2.4265,0.3529,6.25,2.0566,0.8571,1,0.0236
phase1_reasoning,generate,gemma-4-31b-it,max,70,70,2.7429,0.3714,6.25,2.5472,0.7778,1,0.0228
phase1_reasoning,generate,gpt-oss-120b,max,70,67,2.2985,0.3284,6,1.98,0.7778,1,0.033
phase1_reasoning,seed_full,gemma-4-31b-it,max,70,70,3.3143,0.4714,7,2.9434,2.2222,3,0.0612
phase1_reasoning,seed_full,gpt-oss-120b,max,70,67,3,0.4328,6.875,2.7451,0.75,1,0.0734
phase1_reasoning,seed_generate,gemma-4-31b-it,max,70,70,2.7429,0.3857,7,2.4528,0.6667,1,0.0237
phase1_reasoning,seed_generate,gpt-oss-120b,max,70,69,2.5362,0.3768,6.875,2.1923,0.6667,1,0.0307
phase2,seed_full,gemma-4-31b-it,default,70,70,1.7143,0.2429,5.5,1.3208,0.6667,1,0.0714
phase2,seed_full,gpt-oss-120b,default,70,69,1.4058,0.2029,4.125,1.2115,0.1111,0,0.0672
phase3,seed_full,deepseek-v4-flash,default,69,68,3.4853,0.5,6.875,3.2308,1.75,2,0.2982
