judge,provider,call_count
deepseek-v4-flash,Alibaba,145
deepseek-v4-flash,StreamLake,122
deepseek-v4-flash,GMICloud,102
deepseek-v4-flash,AtlasCloud,76
deepseek-v4-flash,Novita,55
deepseek-v4-flash,SiliconFlow,51
deepseek-v4-flash,Parasail,20
deepseek-v4-flash,Venice,14
deepseek-v4-flash,Morph,8
deepseek-v4-flash,AkashML,7
gpt-oss-120b,Ambient,481
gpt-oss-120b,DekaLLM,33
gpt-oss-120b,DeepInfra,28
gpt-oss-120b,Novita,15
gpt-oss-120b,Phala,8
gpt-oss-120b,Amazon Bedrock,7
gpt-oss-120b,SambaNova,5
gpt-oss-120b,Parasail,5
gpt-oss-120b,Google,4
gpt-oss-120b,Mara,3
gpt-oss-120b,BaseTen,3
gpt-oss-120b,Together,3
gpt-oss-120b,Groq,2
gpt-oss-120b,WandB,2
gpt-oss-120b,Nebius,1
gemma-4-31b-it,Chutes,556
gemma-4-31b-it,Novita,23
gemma-4-31b-it,Together,12
gemma-4-31b-it,Parasail,7
gemma-4-31b-it,SiliconFlow,2
