grading_id,sample,gemma_4_31b_it_high_score,gpt_oss_120b_xhigh_score,deepseek_v4_flash_default_score,trio_majority_pass_at_6,trio_majority_signal_at_1,trio_mean_score,trio_median_score,trio_n_valid,gemini_3_1_pro_score,gemini_3_1_pro_pass_at_6,claude_opus_4_7_score,claude_opus_4_7_pass_at_6,human_score,human_pass_at_6,human_signal_at_1,problem_id,problem_source,trio_pass_match_at_6,gemini_3_1_pro_pass_match_at_6,claude_opus_4_7_pass_match_at_6
GB-0004,prior,1,1,0,False,True,0.6667,1,3,0,False,,,4,False,True,PB-Advanced-001,Novel Problem,True,True,
GB-0007,prior,7,7,7,True,True,7,7,3,7,True,,,6,True,True,PB-Advanced-001,Novel Problem,True,True,
GB-0012,prior,7,7,0,True,True,4.6667,7,3,1,False,,,7,True,True,PB-Advanced-001,Novel Problem,True,False,
GB-0026,prior,7,7,0,True,True,4.6667,7,3,7,True,,,7,True,True,PB-Advanced-001,Novel Problem,True,True,
GB-0028,prior,7,7,6,True,True,6.6667,7,3,7,True,,,7,True,True,PB-Advanced-001,Novel Problem,True,True,
GB-0031,prior,7,7,7,True,True,7,7,3,7,True,,,7,True,True,PB-Advanced-001,Novel Problem,True,True,
GB-0033,prior,0,1,1,False,True,0.6667,1,3,0,False,,,0,False,False,PB-Advanced-002,Novel Problem,True,True,
GB-0045,prior,0,0,0,False,False,0,0,3,0,False,,,1,False,True,PB-Advanced-002,Novel Problem,True,True,
GB-0047,prior,7,1,0,False,True,2.6667,1,3,1,False,,,1,False,True,PB-Advanced-002,Novel Problem,True,True,
GB-0049,prior,0,0,0,False,False,0,0,3,0,False,,,1,False,True,PB-Advanced-002,Novel Problem,True,True,
GB-0058,prior,0,1,0,False,False,0.3333,0,3,1,False,,,2,False,True,PB-Advanced-002,Novel Problem,True,True,
GB-0066,prior,1,1,0,False,True,0.6667,1,3,1,False,,,0,False,False,PB-Advanced-003,Novel Problem,True,True,
GB-0068,prior,0,1,0,False,False,0.3333,0,3,0,False,,,0,False,False,PB-Advanced-003,Novel Problem,True,True,
GB-0072,prior,1,1,0,False,True,0.6667,1,3,0,False,,,1,False,True,PB-Advanced-003,Novel Problem,True,True,
GB-0074,prior,1,1,0,False,True,0.6667,1,3,1,False,,,1,False,True,PB-Advanced-003,Novel Problem,True,True,
GB-0081,prior,1,1,0,False,True,0.6667,1,3,1,False,,,1,False,True,PB-Advanced-003,Novel Problem,True,True,
GB-0082,prior,1,1,0,False,True,0.6667,1,3,1,False,,,1,False,True,PB-Advanced-003,Novel Problem,True,True,
GB-0090,prior,1,7,0,False,True,2.6667,1,3,1,False,,,1,False,True,PB-Advanced-003,Novel Problem,True,True,
GB-0094,prior,7,1,7,True,True,5,7,3,7,True,,,2,False,True,PB-Advanced-004,Novel Problem,False,False,
GB-0095,prior,7,7,6,True,True,6.6667,7,3,7,True,,,4,False,True,PB-Advanced-004,Novel Problem,False,False,
GB-0096,prior,6,7,6,True,True,6.3333,6,3,7,True,,,4,False,True,PB-Advanced-004,Novel Problem,False,False,
GB-0100,prior,7,1,6,True,True,4.6667,6,3,7,True,,,5,False,True,PB-Advanced-004,Novel Problem,False,False,
GB-0104,prior,7,7,7,True,True,7,7,3,7,True,,,7,True,True,PB-Advanced-004,Novel Problem,True,True,
GB-0105,prior,7,7,7,True,True,7,7,3,7,True,,,7,True,True,PB-Advanced-004,Novel Problem,True,True,
GB-0113,prior,7,7,7,True,True,7,7,3,7,True,,,7,True,True,PB-Advanced-004,Novel Problem,True,True,
GB-0115,prior,7,7,7,True,True,7,7,3,7,True,,,7,True,True,PB-Advanced-004,Novel Problem,True,True,
GB-0118,prior,7,7,7,True,True,7,7,3,7,True,,,7,True,True,PB-Advanced-004,Novel Problem,True,True,
GB-0128,prior,1,1,0,False,True,0.6667,1,3,0,False,,,0,False,False,PB-Advanced-005,Novel Problem,True,True,
GB-0142,prior,0,0,0,False,False,0,0,3,0,False,,,0,False,False,PB-Advanced-005,Novel Problem,True,True,
GB-0143,prior,0,1,0,False,False,0.3333,0,3,0,False,,,0,False,False,PB-Advanced-005,Novel Problem,True,True,
GB-0147,prior,1,0,0,False,False,0.3333,0,3,0,False,,,2,False,True,PB-Advanced-005,Novel Problem,True,True,
GB-0157,prior,6,0,0,False,False,2,0,3,6,True,,,7,True,True,PB-Advanced-005,Novel Problem,False,True,
GB-0160,prior,7,7,7,True,True,7,7,3,7,True,,,7,True,True,PB-Advanced-005,Novel Problem,True,True,
GB-0162,prior,1,1,0,False,True,0.6667,1,3,1,False,,,0,False,False,PB-Advanced-006,Novel Problem,True,True,
GB-0164,prior,6,1,1,False,True,2.6667,1,3,1,False,,,0,False,False,PB-Advanced-006,Novel Problem,True,True,
GB-0167,prior,1,1,0,False,True,0.6667,1,3,1,False,,,1,False,True,PB-Advanced-006,Novel Problem,True,True,
